,Severity,Blur mAP,Restored mAP,Delta
0,Low,0.9349491061261357,0.8889456287582719,-0.04600347736786381
1,Mid,0.8767820800899669,0.8373894044289204,-0.03939267566104654
2,High,0.5218903694869567,0.4820141023215153,-0.03987626716544135
